data_split,action,bin_left,bin_right,bin_mid,count,fraction
validation,all,0.44,0.46,0.45,10,0.0033333333333333335
validation,all,0.46,0.48,0.47,14,0.004666666666666667
validation,all,0.48,0.5,0.49,14,0.004666666666666667
validation,all,0.5,0.52,0.51,16,0.005333333333333333
validation,all,0.52,0.54,0.53,13,0.004333333333333333
validation,all,0.54,0.56,0.55,8,0.0026666666666666666
validation,all,0.56,0.58,0.5700000000000001,10,0.0033333333333333335
validation,all,0.58,0.6,0.59,14,0.004666666666666667
validation,all,0.6,0.62,0.61,28,0.009333333333333334
validation,all,0.62,0.64,0.63,15,0.005
validation,all,0.64,0.66,0.65,9,0.003
validation,all,0.66,0.68,0.67,11,0.0036666666666666666
validation,all,0.68,0.7000000000000001,0.6900000000000001,23,0.007666666666666666
validation,all,0.7000000000000001,0.72,0.71,29,0.009666666666666667
validation,all,0.72,0.74,0.73,16,0.005333333333333333
validation,all,0.74,0.76,0.75,9,0.003
validation,all,0.76,0.78,0.77,5,0.0016666666666666668
validation,all,0.78,0.8,0.79,5,0.0016666666666666668
validation,all,0.8,0.8200000000000001,0.81,2,0.0006666666666666666
validation,all,0.8200000000000001,0.84,0.8300000000000001,5,0.0016666666666666668
validation,all,0.84,0.86,0.85,3,0.001
validation,all,0.86,0.88,0.87,1,0.0003333333333333333
validation,all,0.88,0.9,0.89,1,0.0003333333333333333
validation,all,0.9,0.92,0.91,0,0.0
validation,all,0.92,0.9400000000000001,0.93,0,0.0
validation,all,0.9400000000000001,0.96,0.95,1,0.0003333333333333333
validation,all,0.96,0.98,0.97,1,0.0003333333333333333
validation,all,0.98,1.0,0.99,0,0.0
validation,walk,0.0,0.02,0.01,1098,0.6504739336492891
validation,walk,0.02,0.04,0.03,130,0.07701421800947868
validation,walk,0.04,0.06,0.05,81,0.04798578199052133
validation,walk,0.06,0.08,0.07,34,0.02014218009478673
validation,walk,0.08,0.1,0.09,42,0.024881516587677725
validation,walk,0.1,0.12,0.11,13,0.007701421800947867
validation,walk,0.12,0.14,0.13,4,0.002369668246445498
validation,walk,0.14,0.16,0.15000000000000002,6,0.0035545023696682463
validation,walk,0.16,0.18,0.16999999999999998,10,0.005924170616113744
validation,walk,0.18,0.2,0.19,4,0.002369668246445498
validation,walk,0.2,0.22,0.21000000000000002,9,0.00533175355450237
validation,walk,0.22,0.24,0.22999999999999998,21,0.012440758293838863
validation,walk,0.24,0.26,0.25,22,0.013033175355450236
validation,walk,0.26,0.28,0.27,20,0.011848341232227487
validation,walk,0.28,0.3,0.29000000000000004,3,0.0017772511848341231
validation,walk,0.3,0.32,0.31,0,0.0
validation,walk,0.32,0.34,0.33,0,0.0
validation,walk,0.34,0.36,0.35,0,0.0
validation,walk,0.36,0.38,0.37,0,0.0
validation,walk,0.38,0.4,0.39,34,0.02014218009478673
validation,walk,0.4,0.42,0.41000000000000003,2,0.001184834123222749
validation,walk,0.42,0.44,0.43,3,0.0017772511848341231
validation,walk,0.44,0.46,0.45,8,0.004739336492890996
validation,walk,0.46,0.48,0.47,6,0.0035545023696682463
validation,walk,0.48,0.5,0.49,4,0.002369668246445498
validation,walk,0.5,0.52,0.51,9,0.00533175355450237
validation,walk,0.52,0.54,0.53,7,0.004146919431279621
validation,walk,0.54,0.56,0.55,2,0.001184834123222749
validation,walk,0.56,0.58,0.5700000000000001,5,0.002962085308056872
validation,walk,0.58,0.6,0.59,8,0.004739336492890996
validation,walk,0.6,0.62,0.61,19,0.011255924170616114
validation,walk,0.62,0.64,0.63,8,0.004739336492890996
validation,walk,0.64,0.66,0.65,5,0.002962085308056872
validation,walk,0.66,0.68,0.67,4,0.002369668246445498
validation,walk,0.68,0.7000000000000001,0.6900000000000001,18,0.01066350710900474
validation,walk,0.7000000000000001,0.72,0.71,19,0.011255924170616114
validation,walk,0.72,0.74,0.73,11,0.006516587677725118
validation,walk,0.74,0.76,0.75,8,0.004739336492890996
validation,walk,0.76,0.78,0.77,0,0.0
validation,walk,0.78,0.8,0.79,3,0.0017772511848341231
validation,walk,0.8,0.8200000000000001,0.81,1,0.0005924170616113745
validation,walk,0.8200000000000001,0.84,0.8300000000000001,1,0.0005924170616113745
validation,walk,0.84,0.86,0.85,3,0.0017772511848341231
validation,walk,0.86,0.88,0.87,0,0.0
validation,walk,0.88,0.9,0.89,1,0.0005924170616113745
validation,walk,0.9,0.92,0.91,0,0.0
validation,walk,0.92,0.9400000000000001,0.93,0,0.0
validation,walk,0.9400000000000001,0.96,0.95,1,0.0005924170616113745
validation,walk,0.96,0.98,0.97,1,0.0005924170616113745
validation,walk,0.98,1.0,0.99,0,0.0
validation,turn,0.0,0.02,0.01,603,0.45960365853658536
validation,turn,0.02,0.04,0.03,88,0.06707317073170732
validation,turn,0.04,0.06,0.05,83,0.06326219512195122
validation,turn,0.06,0.08,0.07,57,0.04344512195121951
validation,turn,0.08,0.1,0.09,65,0.04954268292682927
validation,turn,0.1,0.12,0.11,46,0.0350609756097561
validation,turn,0.12,0.14,0.13,21,0.01600609756097561
validation,turn,0.14,0.16,0.15000000000000002,17,0.012957317073170731
validation,turn,0.16,0.18,0.16999999999999998,29,0.022103658536585365
validation,turn,0.18,0.2,0.19,23,0.01753048780487805
validation,turn,0.2,0.22,0.21000000000000002,13,0.009908536585365854
validation,turn,0.22,0.24,0.22999999999999998,23,0.01753048780487805
validation,turn,0.24,0.26,0.25,23,0.01753048780487805
validation,turn,0.26,0.28,0.27,26,0.019817073170731708
validation,turn,0.28,0.3,0.29000000000000004,29,0.022103658536585365
validation,turn,0.3,0.32,0.31,16,0.012195121951219513
validation,turn,0.32,0.34,0.33,8,0.006097560975609756
validation,turn,0.34,0.36,0.35,13,0.009908536585365854
validation,turn,0.36,0.38,0.37,7,0.005335365853658537
validation,turn,0.38,0.4,0.39,4,0.003048780487804878
validation,turn,0.4,0.42,0.41000000000000003,5,0.0038109756097560975
validation,turn,0.42,0.44,0.43,2,0.001524390243902439
validation,turn,0.44,0.46,0.45,2,0.001524390243902439
validation,turn,0.46,0.48,0.47,8,0.006097560975609756
validation,turn,0.48,0.5,0.49,10,0.007621951219512195
validation,turn,0.5,0.52,0.51,7,0.005335365853658537
validation,turn,0.52,0.54,0.53,6,0.004573170731707317
validation,turn,0.54,0.56,0.55,6,0.004573170731707317
validation,turn,0.56,0.58,0.5700000000000001,5,0.0038109756097560975
validation,turn,0.58,0.6,0.59,6,0.004573170731707317
validation,turn,0.6,0.62,0.61,9,0.006859756097560976
validation,turn,0.62,0.64,0.63,7,0.005335365853658537
validation,turn,0.64,0.66,0.65,4,0.003048780487804878
validation,turn,0.66,0.68,0.67,7,0.005335365853658537
validation,turn,0.68,0.7000000000000001,0.6900000000000001,5,0.0038109756097560975
validation,turn,0.7000000000000001,0.72,0.71,10,0.007621951219512195
validation,turn,0.72,0.74,0.73,5,0.0038109756097560975
validation,turn,0.74,0.76,0.75,1,0.0007621951219512195
validation,turn,0.76,0.78,0.77,5,0.0038109756097560975
validation,turn,0.78,0.8,0.79,2,0.001524390243902439
validation,turn,0.8,0.8200000000000001,0.81,1,0.0007621951219512195
validation,turn,0.8200000000000001,0.84,0.8300000000000001,4,0.003048780487804878
validation,turn,0.84,0.86,0.85,0,0.0
validation,turn,0.86,0.88,0.87,1,0.0007621951219512195
validation,turn,0.88,0.9,0.89,0,0.0
validation,turn,0.9,0.92,0.91,0,0.0
validation,turn,0.92,0.9400000000000001,0.93,0,0.0
validation,turn,0.9400000000000001,0.96,0.95,0,0.0
validation,turn,0.96,0.98,0.97,0,0.0
validation,turn,0.98,1.0,0.99,0,0.0
